genes	Symbol	logFC	logCPM	LR	PValue	FDR	threshold
HLA-C	ENSG00000204525	HLA-C	2.17498654629462	10.246290287362	48.2245676309424	3.80096170443445e-12	6.76291513966263e-11	TRUE
RAB7A	ENSG00000075785	RAB7A	1.62723006625539	7.63062664876819	48.2115293224045	3.82631947781639e-12	6.79307028278467e-11	TRUE
ACTR3	ENSG00000115091	ACTR3	1.74753567894156	8.99921975638257	48.2092966213306	3.83067873089361e-12	6.79307028278467e-11	TRUE
OSBPL8	ENSG00000091039	OSBPL8	1.53027996219306	7.98459533160301	48.1816019260931	3.88516642406768e-12	6.87823140633612e-11	TRUE
MARCHF7	ENSG00000136536	MARCHF7	1.24593511237005	7.38425275791551	48.1301332905414	3.98849651827047e-12	7.04943570671059e-11	TRUE
TOX4	ENSG00000092203	TOX4	1.12037504377458	6.80049823714493	48.1154797061646	4.01841536277583e-12	7.09053722386978e-11	TRUE
NCOR2	ENSG00000196498	NCOR2	1.69231003370226	7.56200631022881	48.1111999787427	4.02719576698808e-12	7.09426539085318e-11	TRUE
CPEB4	ENSG00000113742	CPEB4	1.47089271255769	7.7108974286619	48.0936532355519	4.06339632997408e-12	7.14620445469821e-11	TRUE
TMBIM1	ENSG00000135926	TMBIM1	1.57611981294409	7.88876910842939	48.0881069111879	4.07490651196296e-12	7.15462133453562e-11	TRUE
PAK2	ENSG00000180370	PAK2	1.51765922560105	7.98031081557902	48.0404273384731	4.17521068215036e-12	7.31865595685005e-11	TRUE
AKNA	ENSG00000106948	AKNA	1.82520054823184	9.02967969945159	47.8997559004236	4.4857746321227e-12	7.85010560621472e-11	TRUE
MVP	ENSG00000013364	MVP	1.52710535030001	7.97983478996448	47.881552353505	4.52761725030237e-12	7.91031979363173e-11	TRUE
USP3	ENSG00000140455	USP3	1.33256105295093	7.30020957570161	47.8264184684676	4.6567460307465e-12	8.12258651920374e-11	TRUE
IER2	ENSG00000160888	IER2	1.90055402206451	7.76838860285115	47.7786431984318	4.77161715230024e-12	8.30933003281089e-11	TRUE
NUP98	ENSG00000110713	NUP98	1.64311849586733	8.23920420368375	47.7232864740823	4.90826838962453e-12	8.53332935712501e-11	TRUE
ACVR1B	ENSG00000135503	ACVR1B	1.68462518648092	6.92227165193521	47.618841054303	5.17685450580815e-12	8.98560064303406e-11	TRUE
TPP1	ENSG00000166340	TPP1	1.63686311434482	8.55902645458253	47.5480061680586	5.36733212506418e-12	9.30104459457376e-11	TRUE
MNDA	ENSG00000163563	MNDA	1.47999507757159	7.44640144427317	47.4995327735186	5.50170565634613e-12	9.5183980786216e-11	TRUE
UPF1	ENSG00000005007	UPF1	1.32209435495943	7.47396326548456	47.4695312316586	5.5865546500965e-12	9.64950348653032e-11	TRUE
OSBPL2	ENSG00000130703	OSBPL2	1.4986453875867	6.91161752667169	47.4361913823283	5.68238207887981e-12	9.79911593505368e-11	TRUE
SQOR	ENSG00000137767	SQOR	1.38393358716292	7.51822844729863	47.4213666803389	5.72551884605699e-12	9.85752759256414e-11	TRUE
UNC13D	ENSG00000092929	UNC13D	1.56887874525072	7.86616745283166	47.4168691305903	5.73867045177082e-12	9.86420898333466e-11	TRUE
LILRB4	ENSG00000186818	LILRB4	1.57368329058518	8.03646871717294	47.2581980450967	6.22251860482192e-12	1.06786448315008e-10	TRUE
IQGAP1	ENSG00000140575	IQGAP1	1.89539098277681	9.58507894810743	47.2017488858729	6.40432757619558e-12	1.09729541724188e-10	TRUE
KMT2E	ENSG00000005483	KMT2E	1.59791384483974	8.00463750110478	47.1165406304636	6.68888170497791e-12	1.14420741705731e-10	TRUE
PITPNA	ENSG00000174238	PITPNA	1.50740863233784	7.29136297991666	47.055307561467	6.90115225441275e-12	1.17862375580982e-10	TRUE
ME1	ENSG00000065833	ME1	-1.75877820403249	5.09488257749166	47.037746531692	6.96326406254039e-12	1.18732579527932e-10	TRUE
MKNK2	ENSG00000099875	MKNK2	1.57139629297412	7.85056846823224	47.029703721447	6.99189726093805e-12	1.19030058970209e-10	TRUE
POU2F2	ENSG00000028277	POU2F2	1.39286672860001	7.01434191996655	46.9939723004135	7.12053602295673e-12	1.21026363073897e-10	TRUE
BRD4	ENSG00000141867	BRD4	1.62483182354814	7.4730307057529	46.8767422383743	7.55945116721121e-12	1.28281595564796e-10	TRUE
OSM	ENSG00000099985	OSM	2.13179674781474	7.73747843934807	46.8437128902937	7.68793364332206e-12	1.30254162364565e-10	TRUE
RBM47	ENSG00000163694	RBM47	1.51961704894802	7.73840421393549	46.726249039468	8.16282767185964e-12	1.38080264592347e-10	TRUE
ACAP2	ENSG00000114331	ACAP2	1.50206421801447	8.0318180826035	46.6961150399458	8.28931773290321e-12	1.39997366155699e-10	TRUE
PRR14L	ENSG00000183530	PRR14L	1.25656789192037	7.48673507221759	46.6863034483096	8.33092461382885e-12	1.40477080651567e-10	TRUE
MIER1	ENSG00000198160	MIER1	1.31823306540014	6.97551113122287	46.6753599005423	8.37757826884147e-12	1.41040241741255e-10	TRUE
PRR13	ENSG00000205352	PRR13	1.49952064362179	7.39066401175424	46.6048290987977	8.68459697535861e-12	1.45978059743785e-10	TRUE
KCNAB2	ENSG00000069424	KCNAB2	1.73272302056197	8.1294693690948	46.5901362636004	8.74995827298846e-12	1.46844725590847e-10	TRUE
IFI16	ENSG00000163565	IFI16	1.42981913758979	7.97736218125095	46.4786888586084	9.26203176171127e-12	1.55193729046627e-10	TRUE
KDM7A	ENSG00000006459	KDM7A	1.30826132263413	7.61281362692109	46.4434355065019	9.43017535524755e-12	1.57762682043764e-10	TRUE
PTPN2	ENSG00000175354	PTPN2	1.07648642680561	6.92366512925241	46.4162427554485	9.56195752443949e-12	1.59716213595033e-10	TRUE
HLA-F	ENSG00000204642	HLA-F	1.71755485918917	8.25478648750394	46.3178525342658	1.00543671763361e-11	1.67677847580276e-10	TRUE
SNORA48	ENSG00000209582	SNORA48	1.80199429644905	7.78055137298437	46.2304474842566	1.05130468206461e-11	1.75052923586345e-10	TRUE
KAT6A	ENSG00000083168	KAT6A	1.47579522523698	7.94847104372104	46.2202249833019	1.05680418521082e-11	1.75693695791299e-10	TRUE
STK4	ENSG00000101109	STK4	1.57134457151678	8.57999080994618	46.2075694462536	1.06365251760678e-11	1.76416157237903e-10	TRUE
CASC3	ENSG00000108349	CASC3	1.53708891584982	7.4934587632426	46.2060717377555	1.06446591115351e-11	1.76416157237903e-10	TRUE
TTLL4	ENSG00000135912	TTLL4	1.69538487180657	6.96843280217167	46.0147319556127	1.17367087393763e-11	1.94212412110364e-10	TRUE
IFIT2	ENSG00000119922	IFIT2	2.17513784422291	7.80406260605818	46.0054857224243	1.17922327068878e-11	1.94828192548582e-10	TRUE
ADPGK	ENSG00000159322	ADPGK	1.48053944669614	7.93830609081637	45.9608472810364	1.2064008851719e-11	1.98704907966319e-10	TRUE
VCPIP1	ENSG00000175073	VCPIP1	1.14996852624473	7.21733422573889	45.9608119288422	1.20642265550979e-11	1.98704907966319e-10	TRUE
S100A12	ENSG00000163221	S100A12	1.99484871695679	6.6950988719161	45.8533608321205	1.27444294658808e-11	2.09583816873218e-10	TRUE
RNU4-2	ENSG00000202538	RNU4-2	1.73931698766809	7.61378308730635	45.8372911265867	1.28494044036577e-11	2.1081370099625e-10	TRUE
EVI2A	ENSG00000126860	EVI2A	1.28218915577604	7.30747204268422	45.8358526625206	1.28588432280608e-11	2.1081370099625e-10	TRUE
EP300	ENSG00000100393	EP300	1.62392832517978	8.33459484040023	45.8284683315274	1.29074066314351e-11	2.11021376488221e-10	TRUE
NFAM1	ENSG00000235568	NFAM1	1.61145989910115	7.94866721113482	45.8278962925802	1.29111763246082e-11	2.11021376488221e-10	TRUE
WASHC2C	ENSG00000172661	WASHC2C	1.6261639845488	7.51409703847479	45.7431401210969	1.34820661976389e-11	2.20014086415457e-10	TRUE
KMT2C	ENSG00000055609	KMT2C	1.66776309177925	9.07680716754089	45.7343262272109	1.35428652025668e-11	2.20369282419467e-10	TRUE
BRI3	ENSG00000164713	BRI3	1.67375339423085	7.47615768764518	45.7339806270639	1.35452547652567e-11	2.20369282419467e-10	TRUE
PPM1F	ENSG00000100034	PPM1F	1.51389899941842	7.39325282337671	45.7037856812811	1.37556672419124e-11	2.23450838860989e-10	TRUE
ZNF217	ENSG00000171940	ZNF217	1.36026713888313	7.54985794476869	45.6731891632343	1.39722152138428e-11	2.26622515053792e-10	TRUE
CREBRF	ENSG00000164463	CREBRF	1.49255378001329	7.56999314368618	45.6321677860507	1.4267908834515e-11	2.31066286148005e-10	TRUE
GNB2	ENSG00000172354	GNB2	1.47219647433076	7.56842262264037	45.6171890592348	1.43774337886278e-11	2.32486163390577e-10	TRUE
SHOC2	ENSG00000108061	SHOC2	1.34881959229028	7.10268820285294	45.5805262693797	1.46490769760956e-11	2.36519239796141e-10	TRUE
PPP1R15B	ENSG00000158615	PPP1R15B	1.53379154305919	7.87096789975442	45.556113529917	1.48327997319496e-11	2.39122710830217e-10	TRUE
PTEN	ENSG00000171862	PTEN	1.46735511733402	8.07041518158104	45.5456853235482	1.49119804772646e-11	2.40035510254304e-10	TRUE
RAB1A	ENSG00000138069	RAB1A	1.2855243005695	6.99501486015027	45.4435896225885	1.57098864327062e-11	2.52497268344401e-10	TRUE
ALDOA	ENSG00000149925	ALDOA	2.00276061840512	10.0121572941684	45.4142347434788	1.59471140947852e-11	2.55923520314502e-10	TRUE
TRPM2	ENSG00000142185	TRPM2	1.49301639774264	7.55444259294889	45.3559574748618	1.64287515886856e-11	2.63255898951227e-10	TRUE
KCNK13	ENSG00000152315	KCNK13	-1.59670137339952	5.24764942476936	45.3524809090627	1.64579398459921e-11	2.63327037535873e-10	TRUE
IL1R1	ENSG00000115594	IL1R1	1.90710783041216	7.05459085005457	45.3076408452585	1.68390890309058e-11	2.69020881815072e-10	TRUE
SLC25A37	ENSG00000147454	SLC25A37	2.42112043404084	9.32510881808541	45.302161142207	1.68862692971235e-11	2.69370172895643e-10	TRUE
HLA-B	ENSG00000234745	HLA-B	2.21007829721403	11.3632772626264	45.235557205874	1.7470417844961e-11	2.78271326153271e-10	TRUE
DNAJB1	ENSG00000132002	DNAJB1	2.03018159356676	7.8052419928936	45.1629496443224	1.81302873398783e-11	2.88350160383116e-10	TRUE
ANKRD11	ENSG00000167522	ANKRD11	1.5127895600363	7.7226519464101	45.1456254228315	1.82913840832704e-11	2.90478099471638e-10	TRUE
TANC2	ENSG00000170921	TANC2	1.62538023980801	7.70236034693276	45.1252273051708	1.84829022818497e-11	2.93082086853772e-10	TRUE
ARHGAP25	ENSG00000163219	ARHGAP25	1.42510168500203	7.5458929525404	45.0843744198945	1.88725267751587e-11	2.98815007273346e-10	TRUE
KPNA4	ENSG00000186432	KPNA4	1.18016403016438	7.23541915586618	45.0519470355613	1.91876390245317e-11	3.03352866598837e-10	TRUE
ATP11A	ENSG00000068650	ATP11A	1.28630524847913	7.21465296112393	45.0437512080838	1.92681119915697e-11	3.04173162596887e-10	TRUE
ENO1	ENSG00000074800	ENO1	1.95982590894794	10.241856284783	45.0363739422462	1.93408365249943e-11	3.04868889816206e-10	TRUE
VNN1	ENSG00000112299	VNN1	1.61283445680702	6.50713119414154	44.9722273389345	1.99848819154519e-11	3.14554946124865e-10	TRUE
C1RL	ENSG00000139178	C1RL	1.40659080469205	6.43987023055176	44.9156944243624	2.0570256402521e-11	3.23290292648188e-10	TRUE
RAB5C	ENSG00000108774	RAB5C	1.51522228678094	7.84731760090755	44.9051131183389	2.06817130874706e-11	3.2456257706591e-10	TRUE
BST1	ENSG00000109743	BST1	1.42345738963667	6.55531435861525	44.8574005169636	2.11918424724923e-11	3.32078356269982e-10	TRUE
UPP1	ENSG00000183696	UPP1	1.5391650049519	6.9843246751217	44.8498119621345	2.12741299766369e-11	3.32877563163847e-10	TRUE
IFITM1	ENSG00000185885	IFITM1	1.59278864810342	7.39175572772262	44.8213012563025	2.15861577016962e-11	3.37263903004475e-10	TRUE
CYSTM1	ENSG00000120306	CYSTM1	1.88122759118632	6.94093780231776	44.7296398319807	2.26206957312169e-11	3.52909387947431e-10	TRUE
NARF	ENSG00000141562	NARF	1.37723068800223	6.9129152477282	44.7263320284226	2.26589430872199e-11	3.52988513101054e-10	TRUE
ANKRD13A	ENSG00000076513	ANKRD13A	1.38026413181812	7.49715099211234	44.6268347290348	2.38401648040503e-11	3.70847008063005e-10	TRUE
CXCL16	ENSG00000161921	CXCL16	1.55276866469164	8.02765950243548	44.5566320863232	2.4710502511323e-11	3.8382444776712e-10	TRUE
TMEM64	ENSG00000180694	TMEM64	-1.51733670247669	5.16449247612751	44.4779142298378	2.57242862973455e-11	3.98988930326175e-10	TRUE
PARP10	ENSG00000178685	PARP10	1.51097013447812	7.79450260395354	44.3638324018279	2.72678498867996e-11	4.22314298101233e-10	TRUE
EPHB3	ENSG00000182580	EPHB3	-1.81221248763387	5.16768545205778	44.331918790219	2.7716012481019e-11	4.28631355811108e-10	TRUE
CTPS2	ENSG00000047230	CTPS2	-1.48936253309769	5.18252287353421	44.2938310116732	2.82605390703951e-11	4.36418194062414e-10	TRUE
SPEN	ENSG00000065526	SPEN	1.45124703137995	7.68234278917028	44.2680116977957	2.86357450026667e-11	4.41571488157064e-10	TRUE
IFIH1	ENSG00000115267	IFIH1	1.5281892222529	7.14386706202381	44.257759234336	2.87861130213228e-11	4.43247818446997e-10	TRUE
CLIC1	ENSG00000213719	CLIC1	1.68368576708728	8.67529789742558	44.1869463063017	2.98464979557547e-11	4.58279782465022e-10	TRUE
VPS8	ENSG00000156931	VPS8	1.41383590893523	7.63931015618108	44.1859738748021	2.98613284828744e-11	4.58279782465022e-10	TRUE
NAPA	ENSG00000105402	NAPA	1.48109574759815	7.37579525530397	44.1839932836816	2.98915572397298e-11	4.58279782465022e-10	TRUE
ZFYVE16	ENSG00000039319	ZFYVE16	1.36986565607807	7.64405132203126	44.168356688999	3.01312885912353e-11	4.61290518864379e-10	TRUE
MAFG	ENSG00000197063	MAFG	1.73183003215605	7.26960007527224	44.1619782352087	3.02296311424771e-11	4.6213114275281e-10	TRUE
EGLN2	ENSG00000269858	EGLN2	1.50550561048087	7.54499288380124	44.0872517506572	3.14059693266812e-11	4.79425414111747e-10	TRUE
CTDP1	ENSG00000060069	CTDP1	1.57262953225617	6.9670673263621	44.0814807941148	3.14986986779083e-11	4.80152082998488e-10	TRUE
ARRB2	ENSG00000141480	ARRB2	1.58920307054387	8.30819015249613	44.0660114514413	3.17486185024805e-11	4.83269386074953e-10	TRUE
PTPN6	ENSG00000111679	PTPN6	1.67098592764851	8.5185981756603	44.0375037293456	3.2214394592916e-11	4.89658797812323e-10	TRUE
MLLT6	ENSG00000275023	MLLT6	1.80223092847843	8.79396953611961	44.0200568194457	3.25028200168078e-11	4.93338095547554e-10	TRUE
USB1	ENSG00000103005	USB1	1.4933006945509	6.46309744929498	43.9465787337146	3.37461699516821e-11	5.11480410663672e-10	TRUE
RAB24	ENSG00000169228	RAB24	1.42432653459409	6.64726763004319	43.8208907039375	3.5984350458768e-11	5.44628006943515e-10	TRUE
SH3BP5	ENSG00000131370	SH3BP5	1.88519446048715	7.17443067255357	43.8017226864097	3.63385039518774e-11	5.49206934727239e-10	TRUE
WBP2	ENSG00000132471	WBP2	1.6490473138461	7.61800151899635	43.7866062993268	3.66202572708651e-11	5.52322918584675e-10	TRUE
NIPBL	ENSG00000164190	NIPBL	1.22413558968818	7.77487134831939	43.7850977674936	3.66484944098478e-11	5.52322918584675e-10	TRUE
CASP1	ENSG00000137752	CASP1	1.36123116933848	7.3508255332169	43.6526542233119	3.92144915774428e-11	5.90158685125872e-10	TRUE
AMDHD2	ENSG00000162066	AMDHD2	1.78265878555506	7.25664097607204	43.6434367209817	3.93996266398085e-11	5.92107383400512e-10	TRUE
PLEKHM1	ENSG00000225190	PLEKHM1	1.48987031458359	7.2733625622032	43.618558080078	3.99036972471447e-11	5.98836867009336e-10	TRUE
TYMP	ENSG00000025708	TYMP	1.72271053933147	8.95985465519762	43.5911643158858	4.0466197315138e-11	6.06423013286011e-10	TRUE
CAPZA1	ENSG00000116489	CAPZA1	1.42768049957838	8.31848545406326	43.5702172374383	4.09016708718053e-11	6.12086888995792e-10	TRUE
POM121C	ENSG00000272391	POM121C	1.60741234424067	6.80403100573165	43.4799557992935	4.28324324666972e-11	6.39702656224335e-10	TRUE
VOPP1	ENSG00000154978	VOPP1	1.43934011049587	7.8096274590936	43.4783638110421	4.2867292658642e-11	6.39702656224335e-10	TRUE
SPOPL	ENSG00000144228	SPOPL	1.39087274116547	6.83183893011462	43.4570990126104	4.33356658675396e-11	6.45786393320198e-10	TRUE
NOTCH2NLA	ENSG00000264343	NOTCH2NLA	1.36846359624785	7.55004699479954	43.3841397001506	4.49819330700882e-11	6.69381493518515e-10	TRUE
GBP1	ENSG00000117228	GBP1	1.87626501226106	7.84598357056703	43.3071386533347	4.67873442936707e-11	6.95275619112648e-10	TRUE
SH3BGRL3	ENSG00000142669	SH3BGRL3	1.40166932433983	8.03931062592857	43.2698831349118	4.76867180843363e-11	7.07652273943288e-10	TRUE
PFKFB2	ENSG00000123836	PFKFB2	1.60158228126872	7.19497227615052	43.2524909997502	4.81124809433443e-11	7.12976040720311e-10	TRUE
ANTXR1	ENSG00000169604	ANTXR1	-1.83035281607943	5.22712932705789	43.245180048716	4.82925883930147e-11	7.1464970862542e-10	TRUE
AFTPH	ENSG00000119844	AFTPH	1.40202796132404	7.34153868745758	43.1846488521966	4.98099546573326e-11	7.36080441047249e-10	TRUE
FURIN	ENSG00000140564	FURIN	1.29085377464464	7.59446502626647	43.1683572109673	5.02264344379502e-11	7.41205634424119e-10	TRUE
MCL1	ENSG00000143384	MCL1	1.79115144949883	9.81468859803991	43.1541338189756	5.05928904407588e-11	7.4557943807434e-10	TRUE
BIRC3	ENSG00000023445	BIRC3	1.18759193827301	7.00832962158142	43.0320133246757	5.38514342063284e-11	7.92502434239743e-10	TRUE
CPQ	ENSG00000104324	CPQ	1.33992670778323	6.56771581518021	43.0233386208347	5.40907382363925e-11	7.94924661374608e-10	TRUE
CHFR	ENSG00000072609	CHFR	1.37461384299633	7.23115131975805	42.9986213887337	5.47784516428851e-11	8.03921000662480e-10	TRUE
BRAF	ENSG00000157764	BRAF	1.28826935743186	6.95000479575019	42.9751323439374	5.54401017433835e-11	8.12510582024243e-10	TRUE
SLC9B2	ENSG00000164038	SLC9B2	-1.53570330864906	5.11214744320311	42.9672414738224	5.56641656498834e-11	8.14672245549875e-10	TRUE
SEC24A	ENSG00000113615	SEC24A	1.45980544010691	7.11472664620465	42.9080274187702	5.73747464200598e-11	8.38553986139335e-10	TRUE
ACSL4	ENSG00000068366	ACSL4	1.28914707126207	7.62737974751267	42.8863166941278	5.80150261192175e-11	8.46748803715328e-10	TRUE
TLR8	ENSG00000101916	TLR8	1.27040295389718	6.97168415416721	42.8569835003598	5.88914775694294e-11	8.5836345388867e-10	TRUE
GAB2	ENSG00000033327	GAB2	1.49640981870737	7.74776152372843	42.8387164689382	5.94439653814328e-11	8.65230905141512e-10	TRUE
ILRUN	ENSG00000196821	ILRUN	1.25694785500728	7.23960553213056	42.7777784884402	6.13248371179341e-11	8.90159370965545e-10	TRUE
RBM33	ENSG00000184863	RBM33	1.21844397175128	7.30809002971306	42.7772090338958	6.13426915778287e-11	8.90159370965545e-10	TRUE
ZNFX1	ENSG00000124201	ZNFX1	1.46608363125046	8.00936587903429	42.7751398834781	6.14076107414201e-11	8.90159370965545e-10	TRUE
HECA	ENSG00000112406	HECA	1.33698650584937	7.6411508926473	42.6897821845509	6.4146486653915e-11	9.28596759180484e-10	TRUE
SF3A1	ENSG00000099995	SF3A1	1.44522266644876	7.42183747030534	42.5087430126933	7.03669782333483e-11	1.01726175054732e-09	TRUE
HSF2	ENSG00000025156	HSF2	-1.43238449243314	5.130901094332	42.4862454951468	7.11810295438561e-11	1.02763385935771e-09	TRUE
FAM53C	ENSG00000120709	FAM53C	1.3898043624178	7.15193293998367	42.4820877314961	7.13325031029910e-11	1.02842524798892e-09	TRUE
PLEKHG3	ENSG00000126822	PLEKHG3	1.45313251515404	6.62244606527338	42.4639390876452	7.19974723984222e-11	1.03660772167688e-09	TRUE
RGL2	ENSG00000237441	RGL2	1.38131326532134	7.33205320294772	42.4168258353136	7.37528157627543e-11	1.06044589150771e-09	TRUE
GMFG	ENSG00000130755	GMFG	1.23442452999756	7.11798662066053	42.3791437603136	7.51875570122892e-11	1.07961620325338e-09	TRUE
TRAF1	ENSG00000056558	TRAF1	1.76002208142055	7.44478711589236	42.3746845130191	7.53591806364228e-11	1.08062221289965e-09	TRUE
CYBA	ENSG00000051523	CYBA	1.63132207446366	8.5869266876644	42.3673634785176	7.56417970213022e-11	1.08321496676535e-09	TRUE
MAML2	ENSG00000184384	MAML2	1.42331069297173	7.47547566031455	42.347322439337	7.6420887140566e-11	1.09290085910702e-09	TRUE
HGS	ENSG00000185359	HGS	1.37969788674901	7.34316700981704	42.3398369603576	7.67139391056181e-11	1.09561921085071e-09	TRUE
HLA-A	ENSG00000206503	HLA-A	2.11837483173063	10.8818699380454	42.2971431142726	7.84070116260836e-11	1.11829839638275e-09	TRUE
B4GALT1	ENSG00000086062	B4GALT1	1.31800446119878	7.45478255432842	42.2816126806691	7.90321230149988e-11	1.12570520599677e-09	TRUE
ARPC3	ENSG00000111229	ARPC3	1.32872730366123	7.98655987306989	42.2621869849212	7.98210487753601e-11	1.13542240503988e-09	TRUE
CDC42SE1	ENSG00000197622	CDC42SE1	1.63554872045975	8.80392494186447	42.2351947295236	8.09303753485868e-11	1.1496651451388e-09	TRUE
CYBC1	ENSG00000178927	CYBC1	1.41599825799038	7.99526943800156	42.2063170502769	8.21342815655e-11	1.16521167447589e-09	TRUE
KRAS	ENSG00000133703	KRAS	1.28692734768291	6.67635562849546	42.1589773908018	8.41467702909392e-11	1.19217261770385e-09	TRUE
PSMG1	ENSG00000183527	PSMG1	-1.37693003854695	5.21501867046619	42.0847258839712	8.7403216517417e-11	1.23666253157622e-09	TRUE
JMJD1C	ENSG00000171988	JMJD1C	1.48771948963527	8.29881484878766	42.0452722973851	8.91845490880175e-11	1.26019070690107e-09	TRUE
SNTA1	ENSG00000101400	SNTA1	-1.63302409163808	5.07738870316551	42.0387505099851	8.94824887919763e-11	1.26272371451807e-09	TRUE
TSPAN14	ENSG00000108219	TSPAN14	1.42010385725094	7.92969670100139	42.0284763079084	8.99538752787202e-11	1.26769434829879e-09	TRUE
TNRC18	ENSG00000182095	TNRC18	1.37453002606634	7.68830304097455	42.0053819167624	9.10225529383957e-11	1.28105815246631e-09	TRUE
PARP9	ENSG00000138496	PARP9	1.52065971759599	7.71704485968083	41.9963723171173	9.14429040309524e-11	1.28527410685513e-09	TRUE
PICALM	ENSG00000073921	PICALM	1.51371739062187	8.56820892999717	41.9921765089913	9.16393259291243e-11	1.28633565684153e-09	TRUE
CAMKK2	ENSG00000110931	CAMKK2	1.80931535732892	7.33200528393803	41.9408326549579	9.40774116109329e-11	1.31881905077777e-09	TRUE
TAGLN2	ENSG00000158710	TAGLN2	1.39842330264471	7.64247681992229	41.9194416017115	9.5112238429544e-11	1.33157133801362e-09	TRUE
MR1	ENSG00000153029	MR1	1.20230202937577	7.21552318047807	41.859698835195	9.80631404564718e-11	1.37107991387235e-09	TRUE
SP1	ENSG00000185591	SP1	1.37473718525529	7.99918496830953	41.8045682404817	1.00867474766692e-10	1.40843823033806e-09	TRUE
SEMA4D	ENSG00000187764	SEMA4D	1.54826908120593	8.1174217244298	41.7967029549452	1.01274049813199e-10	1.41226197904645e-09	TRUE
CD300E	ENSG00000186407	CD300E	1.24688178519833	6.51574284778286	41.7870508578348	1.01775231840396e-10	1.41739328112803e-09	TRUE
ARHGAP30	ENSG00000186517	ARHGAP30	1.48360306347033	8.44438649138362	41.7325574968213	1.04651717905515e-10	1.45554807648978e-09	TRUE
SERPINB9	ENSG00000170542	SERPINB9	1.26648848761275	7.4171412539374	41.7298666111818	1.04795848866659e-10	1.45564991115046e-09	TRUE
RELA	ENSG00000173039	RELA	1.29646797777379	7.02211998442711	41.7266149730189	1.0497028037345e-10	1.4561718163931e-09	TRUE
IRF7	ENSG00000185507	IRF7	1.60928168659097	7.5579392836723	41.7087121683424	1.05935880089082e-10	1.46765333873415e-09	TRUE
PGBD2	ENSG00000185220	PGBD2	-1.37358470927657	5.18378219788988	41.7044826644285	1.06165296585762e-10	1.46891905809169e-09	TRUE
DAPP1	ENSG00000070190	DAPP1	1.29529074977898	7.09770363918371	41.6995997379989	1.064307745719e-10	1.47067979408444e-09	TRUE
BRPF3	ENSG00000096070	BRPF3	1.60149653565408	6.80405392784193	41.6472748708581	1.09317660399681e-10	1.50861207088535e-09	TRUE
SUPT6H	ENSG00000109111	SUPT6H	1.2585555541007	7.50713822441734	41.6377595548395	1.09851004513294e-10	1.51400866324021e-09	TRUE
STAT5B	ENSG00000173757	STAT5B	1.4280055561534	7.73296576329637	41.6159307129504	1.1108439815413e-10	1.52902716217328e-09	TRUE
TYK2	ENSG00000105397	TYK2	1.48795119666653	8.03033981411647	41.5904031579037	1.12544376019204e-10	1.54688352043805e-09	TRUE
NOTCH2	ENSG00000134250	NOTCH2	1.6946706786884	9.36014691722986	41.5881798635101	1.12672436874012e-10	1.54688352043805e-09	TRUE
SON	ENSG00000159140	SON	1.5528274611516	9.00965001955461	41.5635351880384	1.14101767483405e-10	1.56448815209205e-09	TRUE
HNRNPH2	ENSG00000126945	HNRNPH2	1.24783095282278	7.20385237386731	41.5401168028921	1.15476791192374e-10	1.581303807319e-09	TRUE
VPS9D1	ENSG00000075399	VPS9D1	1.37459271440195	6.65089941782471	41.5175843659877	1.16815451421852e-10	1.59757892432969e-09	TRUE
GRB2	ENSG00000177885	GRB2	1.56791974474265	8.84640057083674	41.3168932472861	1.29445348845292e-10	1.76696302143996e-09	TRUE
SLC25A23	ENSG00000125648	SLC25A23	-1.61166625244101	5.2160159252224	41.3155700313358	1.29533003451425e-10	1.76696302143996e-09	TRUE
HM13	ENSG00000101294	HM13	1.4243337624423	7.46366600884339	41.2663344288723	1.32837132773265e-10	1.8097145873336e-09	TRUE
PECAM1	ENSG00000261371	PECAM1	1.44911269029606	8.15826606226327	41.2198029540754	1.36037303219439e-10	1.85094233536423e-09	TRUE
MNT	ENSG00000070444	MNT	1.46159238961862	6.70303133389096	41.1645090119102	1.39940602620056e-10	1.90161942768506e-09	TRUE
TLCD4	ENSG00000152078	TLCD4	-1.77584345557139	5.21643617840611	41.1529687909248	1.40769283275044e-10	1.90857264816659e-09	TRUE
RAP1B	ENSG00000127314	RAP1B	1.22904789808492	7.64572475441025	41.1523890047145	1.40811045940862e-10	1.90857264816659e-09	TRUE
LBR	ENSG00000143815	LBR	1.24768961577214	7.42656412176843	41.1438773088428	1.41425582683514e-10	1.91446335846385e-09	TRUE
WAC	ENSG00000095787	WAC	1.22335645818704	7.62800525388958	41.0807434758639	1.46068387763518e-10	1.97480005820055e-09	TRUE
SAFB	ENSG00000160633	SAFB	1.45488730867193	7.14415589327048	41.0757552599318	1.46441655929049e-10	1.97733403437193e-09	TRUE
TNFSF14	ENSG00000125735	TNFSF14	1.98528279257402	6.67132283156934	41.0350781050684	1.49521387089241e-10	2.016359389898e-09	TRUE
PPFIA1	ENSG00000131626	PPFIA1	1.29320948891002	7.00313643959317	41.0019823030659	1.5207489655551e-10	2.04819860677294e-09	TRUE
LILRA1	ENSG00000104974	LILRA1	1.15838284249735	6.63120956599257	40.961636749197	1.55246881015684e-10	2.0882766295915e-09	TRUE
AIFM3	ENSG00000183773	AIFM3	-1.84677681996906	5.34979057415523	40.9212843302408	1.58485654064046e-10	2.12915070611294e-09	TRUE
